"election_year","mean","median","std","variance","kurtosis","num_candidates"
1972,0.4,0.4,1.34350288425444,1.805,1,2
1976,0.21,0.21,0.127279220613579,0.0162,1,2
1980,-0.613333333333333,-0.16,1.0279267159352,1.05663333333333,1.5,3
1984,0.505,0.505,0.912167747730646,0.83205,1,2
1988,0.435,0.435,0.00707106781186548,5.00000000000001e-05,1,2
1992,-0.45,-0.27,0.52373657500694,0.2743,1.5,3
1996,-0.536666666666667,-0.06,1.38781603007507,1.92603333333333,1.5,3
2000,-0.596666666666667,0.13,1.60823920277219,2.58643333333333,1.5,3
2004,0.535,0.535,0.21920310216783,0.04805,1,2
2008,0.53,0.53,0.014142135623731,2e-04,1,2
2012,0.555,0.555,0.00707106781186548,5.00000000000001e-05,1,2
2016,-0.53,0.26,1.43815854480652,2.0683,1.5,3
